City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,crane,31.3974,-102.3501,19.47,11,3,2.72,US,1712545631
1,bonthe,7.5264,-12.505,25.82,86,70,2.03,SL,1712545798
2,puerto natales,-51.7236,-72.4875,2.97,73,100,3.38,CL,1712545700
3,san antonio de pale,-1.4014,5.6325,28.24,79,91,4.33,GQ,1712545800
4,hermanus,-34.4187,19.2345,17.11,94,100,9.72,ZA,1712545641
5,kismayo,-0.3582,42.5454,28.47,79,100,3.58,SO,1712545801
6,edinburgh of the seven seas,-37.0676,-12.3116,18.47,95,100,7.14,SH,1712545591
7,extrema,-22.8547,-46.3183,17.21,92,27,2.29,BR,1712545385
8,porto novo,6.4965,2.6036,27.29,87,97,2.61,BJ,1712545723
9,puerto armuelles,8.2833,-82.8667,28.99,71,100,1.34,PA,1712545803
10,tuy hoa,13.0833,109.3,32.65,48,68,3.22,VN,1712545803
11,ngetkib,7.3645,134.5148,29.3,71,48,5.26,PW,1712545804
12,puerto ayora,-0.7393,-90.3518,24.75,98,83,1.52,EC,1712545729
13,bela,25.9333,81.9833,32.43,11,26,0.77,IN,1712545805
14,waitangi,-43.9535,-176.5597,13.23,80,100,0.89,NZ,1712545592
15,bethal,-26.4579,29.4655,13.08,91,100,3.95,ZA,1712545806
16,palikir - national government center,6.9248,158.1611,27.41,83,100,4.63,FM,1712545806
17,bredasdorp,-34.5322,20.0403,18.22,93,100,8.86,ZA,1712545780
